Year,NOC,Gold,Silver,Bronze,Total,Rank,Athletes,GDP,Host,Past_Gold_Avg,Past_Total_Avg,Past_Gold_Sum,Past_Total_Sum,Cluster
1980,Germany,47,37,42,126,2.0,0.0,333788.0,0,32.333333333333336,95.33333333333333,97.0,286.0,0
1964,Germany,10,22,18,50,4.0,0.0,134684.59259259258,0,6.0,30.666666666666668,18.0,92.0,0
1964,Ghana,0,0,1,1,35.0,40.0,1164.2,0,0.0,1.0,0.0,1.0,1
1992,Ghana,0,0,1,1,54.0,41.0,963.0,0,0.0,1.0,0.0,3.0,1
1972,Ghana,0,0,1,1,43.0,41.0,1602.0,0,0.0,1.0,0.0,2.0,1
2020,Ghana,0,0,1,1,86.0,16.0,3256.0,0,0.0,1.0,0.0,3.0,1
1960,Ghana,0,1,0,1,32.0,15.0,1164.2,0,0.0,0.0,0.0,0.0,1
1988,Great Britain,5,10,9,24,12.0,0.0,26818.166666666668,0,4.333333333333333,23.666666666666668,13.0,71.0,4
2016,Great Britain,27,23,17,67,2.0,0.0,26818.166666666668,0,19.0,48.666666666666664,57.0,146.0,4
1932,Great Britain,5,7,5,17,9.0,0.0,26818.166666666668,0,8.666666666666666,32.0,26.0,96.0,4
1928,Great Britain,3,10,7,20,11.0,0.0,26818.166666666668,0,11.0,39.0,33.0,117.0,4
1948,Great Britain,3,14,6,23,12.0,0.0,26818.166666666668,0,4.0,17.0,12.0,51.0,4
1936,Great Britain,4,7,3,14,12.0,0.0,26818.166666666668,0,5.666666666666667,23.666666666666668,17.0,71.0,4
1920,Great Britain,14,15,13,42,4.0,0.0,26818.166666666668,0,22.333333333333332,63.0,67.0,189.0,4
2024,Great Britain,14,22,29,65,7.0,0.0,804545.0,0,26.0,65.33333333333333,78.0,196.0,4
2012,Great Britain,29,18,18,65,3.0,0.0,26818.166666666668,0,13.0,36.333333333333336,39.0,109.0,4
1984,Great Britain,5,11,21,37,11.0,0.0,26818.166666666668,0,4.0,17.333333333333332,12.0,52.0,4
1980,Great Britain,5,7,9,21,9.0,0.0,26818.166666666668,0,4.0,14.666666666666666,12.0,44.0,4
1912,Great Britain,10,15,16,41,3.0,0.0,26818.166666666668,0,24.0,59.666666666666664,72.0,179.0,4
1896,Great Britain,2,3,2,7,5.0,0.0,26818.166666666668,0,0.0,0.0,0.0,0.0,4
1956,Great Britain,6,7,11,24,8.0,0.0,26818.166666666668,0,2.6666666666666665,16.0,8.0,48.0,4
1992,Great Britain,5,3,12,20,13.0,0.0,26818.166666666668,0,5.0,27.333333333333332,15.0,82.0,4
2004,Great Britain,9,9,12,30,10.0,0.0,26818.166666666668,0,5.666666666666667,21.0,17.0,63.0,4
2000,Great Britain,11,10,7,28,10.0,0.0,26818.166666666668,0,3.6666666666666665,19.666666666666668,11.0,59.0,4
2008,Great Britain,19,13,19,51,4.0,0.0,26818.166666666668,0,7.0,24.333333333333332,21.0,73.0,4
1972,Great Britain,4,5,9,18,12.0,0.0,26818.166666666668,0,3.6666666666666665,17.0,11.0,51.0,4
1900,Great Britain,15,7,9,31,3.0,0.0,26818.166666666668,0,2.0,7.0,2.0,7.0,4
1968,Great Britain,5,5,3,13,10.0,0.0,26818.166666666668,0,4.0,20.666666666666668,12.0,62.0,4
1904,Great Britain,1,1,0,2,9.0,0.0,26818.166666666668,0,8.5,19.0,17.0,38.0,4
1952,Great Britain,1,2,8,11,18.0,0.0,26818.166666666668,0,4.0,18.0,12.0,54.0,4
1996,Great Britain,1,8,6,15,36.0,0.0,26818.166666666668,0,5.0,27.0,15.0,81.0,4
1976,Great Britain,3,5,5,13,13.0,0.0,26818.166666666668,0,4.333333333333333,16.333333333333332,13.0,49.0,4
1908,Great Britain,56,51,39,146,1.0,0.0,26818.166666666668,0,6.0,13.333333333333334,18.0,40.0,4
1960,Great Britain,2,6,12,20,12.0,0.0,26818.166666666668,0,3.3333333333333335,19.333333333333332,10.0,58.0,4
1964,Great Britain,4,12,2,18,10.0,0.0,26818.166666666668,0,3.0,18.333333333333332,9.0,55.0,4
2020,Great Britain,22,20,22,64,4.0,0.0,26818.166666666668,0,25.0,61.0,75.0,183.0,4
1924,Great Britain,9,13,12,34,4.0,0.0,26818.166666666668,0,26.666666666666668,76.33333333333333,80.0,229.0,4
2016,Greece,3,1,2,6,25.0,104.0,10246.0,0,2.0,7.0,6.0,21.0,4
1912,Greece,1,0,1,2,15.0,77.0,10339.047619047618,0,3.6666666666666665,17.666666666666668,11.0,53.0,4
1992,Greece,2,0,0,2,26.0,76.0,17557.0,0,0.3333333333333333,2.0,1.0,6.0,4
2020,Greece,2,1,1,4,36.0,100.0,8938.0,0,1.0,3.6666666666666665,3.0,11.0,4
1984,Greece,0,1,1,2,30.0,73.0,11712.0,0,0.3333333333333333,2.0,1.0,6.0,4
2004,Greece,6,6,4,16,15.0,499.0,19214.0,1,3.3333333333333335,7.666666666666667,10.0,23.0,4
1980,Greece,1,0,2,3,22.0,45.0,19594.0,0,0.3333333333333333,1.3333333333333333,1.0,4.0,4
1972,Greece,0,2,0,2,29.0,66.0,12969.0,0,0.3333333333333333,1.0,1.0,3.0,4
1920,Greece,0,1,0,1,19.0,98.0,10339.047619047618,0,0.6666666666666666,2.6666666666666665,2.0,8.0,4
2012,Greece,0,0,2,2,77.0,115.0,14665.0,0,3.3333333333333335,10.666666666666666,10.0,32.0,4
2000,Greece,4,6,3,13,17.0,175.0,12248.0,0,2.0,3.6666666666666665,6.0,11.0,4
1904,Greece,1,0,1,2,11.0,17.0,10339.047619047618,0,10.0,47.0,10.0,47.0,4
1996,Greece,4,4,0,8,16.0,180.0,17624.0,0,0.6666666666666666,1.6666666666666667,2.0,5.0,4
1968,Greece,0,0,1,1,42.0,44.0,10513.0,0,0.3333333333333333,1.0,1.0,3.0,4
1988,Greece,0,0,1,1,46.0,72.0,14340.0,0,0.3333333333333333,2.3333333333333335,1.0,7.0,4
1960,Greece,1,0,0,1,21.0,59.0,10339.047619047618,0,0.3333333333333333,1.3333333333333333,1.0,4.0,4
1956,Greece,0,0,1,1,35.0,16.0,10339.047619047618,0,0.3333333333333333,2.3333333333333335,1.0,7.0,4
1896,Greece,10,18,19,47,2.0,148.0,10339.047619047618,1,0.0,0.0,0.0,0.0,4
2024,Greece,1,1,6,8,51.0,126.0,23750.0,0,1.6666666666666667,4.0,5.0,12.0,4
1908,Greece,0,3,1,4,15.0,49.0,10339.047619047618,0,5.5,24.5,11.0,49.0,4
2008,Greece,0,2,1,3,60.0,176.0,23750.0,0,4.666666666666667,12.333333333333334,14.0,37.0,4
2020,Grenada,0,0,1,1,86.0,0.0,25.0,0,0.5,1.0,1.0,2.0,1
2016,Grenada,0,1,0,1,69.0,0.0,34.0,0,1.0,1.0,1.0,1.0,1
2024,Grenada,0,0,2,2,80.0,0.0,32.0,0,0.3333333333333333,1.0,1.0,3.0,1
2012,Grenada,1,0,0,1,50.0,0.0,20.0,0,0.0,0.0,0.0,0.0,1
2024,Guatemala,1,0,1,2,60.0,0.0,2583.0,0,0.0,1.0,0.0,1.0,1
2012,Guatemala,0,1,0,1,70.0,0.0,3022.0,0,0.0,0.0,0.0,0.0,1
1980,Guyana,0,0,1,1,35.0,10.0,192.0,0,0.0,0.0,0.0,0.0,2
1928,Haiti,0,1,0,1,30.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2
1924,Haiti,0,0,1,1,23.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
2020,Hong Kong,1,2,3,6,49.0,65.0,18890.2,0,0.3333333333333333,1.0,1.0,3.0,1
2012,Hong Kong,0,0,1,1,79.0,55.0,18890.2,0,0.5,1.0,1.0,2.0,1
2004,Hong Kong,0,1,0,1,65.0,42.0,18890.2,0,1.0,1.0,1.0,1.0,1
2024,Hong Kong,2,0,2,4,37.0,51.0,94451.0,0,0.3333333333333333,2.6666666666666665,1.0,8.0,1
1996,Hong Kong,1,0,0,1,49.0,32.0,18890.2,0,0.0,0.0,0.0,0.0,1
2004,Hungary,8,6,3,17,12.0,258.0,8503.0,0,8.666666666666666,22.666666666666668,26.0,68.0,4
2012,Hungary,8,4,6,18,10.0,201.0,7896.0,0,6.333333333333333,14.666666666666666,19.0,44.0,4
2016,Hungary,8,3,4,15,12.0,204.0,6816.0,0,6.333333333333333,15.0,19.0,45.0,4
2024,Hungary,6,7,6,19,14.0,255.0,10696.0,0,7.333333333333333,17.666666666666668,22.0,53.0,4
1988,Hungary,11,6,6,23,6.0,315.0,5652.0,0,5.666666666666667,29.666666666666668,17.0,89.0,4
2020,Hungary,6,7,7,20,15.0,237.0,7342.0,0,6.333333333333333,14.333333333333334,19.0,43.0,4
2000,Hungary,8,6,3,17,13.0,238.0,4586.0,0,9.666666666666666,24.666666666666668,29.0,74.0,4
2008,Hungary,3,5,2,10,21.0,216.0,10696.0,0,7.666666666666667,18.333333333333332,23.0,55.0,4
1996,Hungary,7,4,10,21,12.0,315.0,5752.0,0,9.666666666666666,28.333333333333332,29.0,85.0,4
1992,Hungary,11,12,7,30,8.0,351.0,5919.0,0,7.333333333333333,25.666666666666668,22.0,77.0,4
1904,Hungary,2,1,1,4,5.0,9.0,3562.1071428571427,0,1.5,5.5,3.0,11.0,4
1980,Hungary,7,10,15,32,6.0,392.0,8045.0,0,6.666666666666667,29.666666666666668,20.0,89.0,4
1964,Hungary,10,7,5,22,6.0,319.0,3562.1071428571427,0,10.333333333333334,29.666666666666668,31.0,89.0,4
1968,Hungary,10,10,12,32,4.0,303.0,5109.0,0,8.333333333333334,23.0,25.0,69.0,4
1912,Hungary,3,2,3,8,9.0,207.0,3562.1071428571427,0,2.0,6.0,6.0,18.0,4
1976,Hungary,4,5,13,22,10.0,288.0,7026.0,0,8.666666666666666,29.666666666666668,26.0,89.0,4
1948,Hungary,10,5,12,27,4.0,222.0,3562.1071428571427,0,6.666666666666667,13.666666666666666,20.0,41.0,4
1972,Hungary,6,13,16,35,8.0,367.0,5701.0,0,8.666666666666666,25.0,26.0,75.0,4
1908,Hungary,3,4,2,9,6.0,107.0,3562.1071428571427,0,1.6666666666666667,5.0,5.0,15.0,4
1960,Hungary,6,8,7,21,7.0,312.0,3562.1071428571427,0,11.666666666666666,31.666666666666668,35.0,95.0,4
1928,Hungary,4,5,0,9,9.0,219.0,3562.1071428571427,0,2.6666666666666665,8.666666666666666,8.0,26.0,4
1952,Hungary,16,10,16,42,3.0,345.0,3562.1071428571427,0,8.666666666666666,19.666666666666668,26.0,59.0,4
1900,Hungary,1,2,2,5,11.0,34.0,3562.1071428571427,0,2.0,6.0,2.0,6.0,4
1924,Hungary,2,3,4,9,13.0,140.0,3562.1071428571427,0,2.6666666666666665,7.0,8.0,21.0,4
1956,Hungary,9,10,7,26,4.0,197.0,3562.1071428571427,0,12.0,28.333333333333332,36.0,85.0,4
1936,Hungary,10,1,5,16,3.0,335.0,3562.1071428571427,0,4.0,11.333333333333334,12.0,34.0,4
1896,Hungary,2,1,3,6,6.0,18.0,3562.1071428571427,0,0.0,0.0,0.0,0.0,4
1932,Hungary,6,5,5,16,6.0,118.0,3562.1071428571427,0,3.0,8.666666666666666,9.0,26.0,4
2008,Iceland,0,1,0,1,72.0,31.0,1200.0,0,0.0,1.0,0.0,3.0,1
1956,Iceland,0,1,0,1,31.0,2.0,688.25,0,0.0,0.0,0.0,0.0,1
2000,Iceland,0,0,1,1,71.0,29.0,860.0,0,0.0,1.0,0.0,2.0,1
1984,Iceland,0,0,1,1,43.0,35.0,693.0,0,0.0,1.0,0.0,1.0,1
2016,Independent Olympic Athletes,1,0,1,2,51.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1
1992,Independent Olympic Participants,0,1,2,3,44.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
2024,India,0,1,5,6,71.0,138.0,81150.0,0,0.3333333333333333,5.0,1.0,15.0,2
2004,India,0,1,0,1,65.0,81.0,58027.0,0,0.3333333333333333,1.0,1.0,3.0,2
1980,India,1,0,0,1,23.0,78.0,65193.0,0,0.3333333333333333,1.0,1.0,3.0,2
2016,India,0,1,1,2,67.0,130.0,122012.0,0,0.3333333333333333,3.3333333333333335,1.0,10.0,2
1900,India,0,2,0,2,19.0,5.0,42586.0,0,0.0,0.0,0.0,0.0,2
2008,India,1,0,2,3,51.0,67.0,81150.0,0,0.0,1.0,0.0,3.0,2
1956,India,1,0,0,1,24.0,79.0,42586.0,0,1.0,1.3333333333333333,3.0,4.0,2
1960,India,0,1,0,1,32.0,49.0,42586.0,0,1.0,1.3333333333333333,3.0,4.0,2
1932,India,1,0,0,1,19.0,26.0,42586.0,0,0.5,1.5,1.0,3.0,2
1936,India,1,0,0,1,20.0,30.0,42586.0,0,0.6666666666666666,1.3333333333333333,2.0,4.0,2
2020,India,1,2,4,7,48.0,151.0,125241.0,0,0.3333333333333333,3.6666666666666665,1.0,11.0,2
1952,India,1,0,1,2,26.0,94.0,42586.0,0,1.0,1.0,3.0,3.0,2
1964,India,1,0,0,1,24.0,111.0,42586.0,0,0.6666666666666666,1.3333333333333333,2.0,4.0,2
1948,India,1,0,0,1,22.0,89.0,42586.0,0,1.0,1.0,3.0,3.0,2
2012,India,0,2,4,6,57.0,95.0,112416.0,0,0.3333333333333333,1.6666666666666667,1.0,5.0,2
1968,India,0,0,1,1,42.0,27.0,56393.0,0,0.6666666666666666,1.0,2.0,3.0,2
1972,India,0,0,1,1,43.0,43.0,55824.0,0,0.3333333333333333,1.0,1.0,3.0,2
2000,India,0,0,1,1,71.0,70.0,45673.0,0,0.3333333333333333,1.0,1.0,3.0,2
1996,India,0,0,1,1,71.0,54.0,48641.0,0,0.3333333333333333,1.0,1.0,3.0,2
1928,India,1,0,0,1,24.0,24.0,42586.0,0,0.0,2.0,0.0,2.0,2
2000,Indonesia,1,3,2,6,38.0,0.0,16078.0,0,1.0,3.3333333333333335,3.0,10.0,2
2020,Indonesia,1,1,3,5,55.0,0.0,49572.0,0,0.6666666666666666,4.0,2.0,12.0,2
1988,Indonesia,0,1,0,1,36.0,0.0,16078.0,0,0.0,0.0,0.0,0.0,2
2004,Indonesia,1,1,2,4,48.0,0.0,21004.0,0,1.3333333333333333,5.0,4.0,15.0,2
2024,Indonesia,2,0,1,3,39.0,0.0,34522.0,0,0.6666666666666666,3.6666666666666665,2.0,11.0,2
1992,Indonesia,2,2,1,5,24.0,0.0,19615.0,0,0.0,1.0,0.0,1.0,2
1996,Indonesia,1,1,2,4,41.0,0.0,28137.0,0,1.0,3.0,2.0,6.0,2
2008,Indonesia,1,1,4,6,40.0,0.0,34522.0,0,1.0,4.666666666666667,3.0,14.0,2
2012,Indonesia,0,2,1,3,60.0,0.0,56443.0,0,1.0,5.333333333333333,3.0,16.0,2
2016,Indonesia,1,2,0,3,46.0,0.0,49533.0,0,0.6666666666666666,4.333333333333333,2.0,13.0,2
2020,Iran,3,2,2,7,27.0,0.0,6441.555555555556,0,3.6666666666666665,7.666666666666667,11.0,23.0,2
1956,Iran,2,2,1,5,14.0,0.0,6441.555555555556,0,0.0,4.0,0.0,8.0,2
2000,Iran,3,0,1,4,27.0,0.0,6441.555555555556,0,0.3333333333333333,2.3333333333333335,1.0,7.0,2
1952,Iran,0,3,4,7,30.0,0.0,6441.555555555556,0,0.0,1.0,0.0,1.0,2
1968,Iran,2,1,2,5,19.0,0.0,6441.555555555556,0,0.6666666666666666,3.6666666666666665,2.0,11.0,2
1948,Iran,0,0,1,1,34.0,0.0,6441.555555555556,0,0.0,0.0,0.0,0.0,2
1988,Iran,0,1,0,1,36.0,0.0,6441.555555555556,0,0.6666666666666666,3.3333333333333335,2.0,10.0,2
2008,Iran,1,0,1,2,52.0,0.0,6441.555555555556,0,2.0,4.333333333333333,6.0,13.0,2
2004,Iran,2,2,2,6,29.0,0.0,6441.555555555556,0,1.3333333333333333,3.3333333333333335,4.0,10.0,2
1964,Iran,0,0,2,2,34.0,0.0,6441.555555555556,0,0.6666666666666666,5.333333333333333,2.0,16.0,2
1972,Iran,0,2,1,3,28.0,0.0,6441.555555555556,0,0.6666666666666666,3.6666666666666665,2.0,11.0,2
1976,Iran,0,1,1,2,33.0,0.0,6441.555555555556,0,0.6666666666666666,3.3333333333333335,2.0,10.0,2
2016,Iran,3,1,4,8,24.0,0.0,6441.555555555556,0,3.3333333333333335,7.0,10.0,21.0,2
1996,Iran,1,1,1,3,43.0,0.0,6441.555555555556,0,0.0,2.0,0.0,6.0,2
2012,Iran,7,5,1,13,12.0,0.0,6441.555555555556,0,2.0,4.0,6.0,12.0,2
2024,Iran,3,6,3,12,21.0,0.0,115948.0,0,4.333333333333333,9.333333333333334,13.0,28.0,2
1960,Iran,0,1,3,4,27.0,0.0,6441.555555555556,0,0.6666666666666666,4.333333333333333,2.0,13.0,2
1992,Iran,0,1,2,3,44.0,0.0,6441.555555555556,0,0.0,2.0,0.0,6.0,2
1960,Iraq,0,0,1,1,41.0,28.0,0.0,0,0.0,0.0,0.0,0.0,2
1996,Ireland,3,0,1,4,28.0,99.0,9360.0,0,0.3333333333333333,1.6666666666666667,1.0,5.0,2
2016,Ireland,0,2,0,2,63.0,93.0,16236.0,0,0.3333333333333333,3.3333333333333335,1.0,10.0,2
1992,Ireland,1,1,0,2,32.0,77.0,8555.0,0,0.0,1.3333333333333333,0.0,4.0,2
2000,Ireland,0,1,0,1,64.0,76.0,9755.0,0,1.3333333333333333,2.3333333333333335,4.0,7.0,2
1964,Ireland,0,0,1,1,35.0,35.0,8539.133333333333,0,1.0,2.6666666666666665,3.0,8.0,2
1928,Ireland,1,0,0,1,24.0,44.0,8539.133333333333,0,0.0,0.0,0.0,0.0,2
1932,Ireland,2,0,0,2,16.0,18.0,8539.133333333333,0,1.0,1.0,1.0,1.0,2
2020,Ireland,2,0,2,4,39.0,150.0,20420.0,0,0.3333333333333333,3.6666666666666665,1.0,11.0,2
2012,Ireland,1,1,4,6,41.0,76.0,13953.0,0,1.0,2.6666666666666665,3.0,8.0,2
1956,Ireland,1,1,3,5,21.0,25.0,8539.133333333333,0,1.0,1.3333333333333333,3.0,4.0,2
2008,Ireland,0,1,2,3,64.0,63.0,18626.0,0,1.3333333333333333,2.3333333333333335,4.0,7.0,2
1984,Ireland,0,1,0,1,33.0,55.0,4964.0,0,0.3333333333333333,2.6666666666666665,1.0,8.0,2
1980,Ireland,0,1,1,2,31.0,57.0,7592.0,0,0.3333333333333333,2.3333333333333335,1.0,7.0,2
1952,Ireland,0,1,0,1,34.0,25.0,8539.133333333333,0,1.5,1.5,3.0,3.0,2
2024,Ireland,4,0,3,7,19.0,185.0,18626.0,0,1.0,4.0,3.0,12.0,2
2000,Israel,0,0,1,1,71.0,58.0,13269.0,0,0.0,1.5,0.0,3.0,1
2008,Israel,0,0,1,1,82.0,60.0,14909.0,0,0.3333333333333333,1.3333333333333333,1.0,4.0,1
2016,Israel,0,0,2,2,77.0,59.0,17045.0,0,0.3333333333333333,1.3333333333333333,1.0,4.0,1
1992,Israel,0,1,1,2,48.0,44.0,12144.0,0,0.0,0.0,0.0,0.0,1
1996,Israel,0,0,1,1,71.0,38.0,14201.0,0,0.0,2.0,0.0,2.0,1
2020,Israel,2,0,2,4,39.0,128.0,19258.0,0,0.3333333333333333,1.6666666666666667,1.0,5.0,1
2004,Israel,1,0,1,2,52.0,46.0,11432.0,0,0.0,1.3333333333333333,0.0,4.0,1
2024,Israel,1,5,1,7,41.0,138.0,14909.0,0,0.6666666666666666,2.3333333333333335,2.0,7.0,1
1984,Italy,14,6,12,32,5.0,368.0,108687.0,0,5.0,15.333333333333334,15.0,46.0,4
1964,Italy,10,10,7,27,5.0,256.0,73221.89285714286,0,9.666666666666666,27.333333333333332,29.0,82.0,4
1992,Italy,6,5,8,19,12.0,431.0,202919.0,0,9.333333333333334,20.333333333333332,28.0,61.0,4
2012,Italy,8,9,11,28,9.0,382.0,129046.0,0,10.333333333333334,31.0,31.0,93.0,4
2004,Italy,10,11,11,32,8.0,474.0,148365.0,0,10.666666666666666,29.333333333333332,32.0,88.0,4
1952,Italy,8,9,4,21,5.0,376.0,73221.89285714286,0,9.666666666666666,30.0,29.0,90.0,4
1900,Italy,3,2,0,5,8.0,36.0,73221.89285714286,0,0.0,0.0,0.0,0.0,4
1980,Italy,8,3,4,15,5.0,203.0,167399.0,0,3.3333333333333335,15.666666666666666,10.0,47.0,4
1960,Italy,13,10,13,36,3.0,402.0,73221.89285714286,1,8.0,24.333333333333332,24.0,73.0,4
2024,Italy,12,13,15,40,9.0,610.0,163658.0,0,8.666666666666666,32.0,26.0,96.0,4
2000,Italy,13,8,13,34,7.0,457.0,112133.0,0,8.333333333333334,22.666666666666668,25.0,68.0,4
1924,Italy,8,3,5,16,5.0,333.0,73221.89285714286,0,6.0,11.0,18.0,33.0,4
2016,Italy,8,12,8,28,9.0,399.0,100331.0,0,8.666666666666666,29.0,26.0,87.0,4
1932,Italy,12,12,12,36,2.0,154.0,73221.89285714286,0,9.333333333333334,19.333333333333332,28.0,58.0,4
1920,Italy,13,5,5,23,7.0,291.0,73221.89285714286,0,2.6666666666666665,5.0,8.0,15.0,4
1996,Italy,13,10,12,35,6.0,460.0,162835.0,0,8.666666666666666,21.666666666666668,26.0,65.0,4
1988,Italy,6,4,4,14,10.0,374.0,170645.0,0,8.0,20.0,24.0,60.0,4
1936,Italy,9,13,5,27,4.0,349.0,73221.89285714286,0,9.0,23.666666666666668,27.0,71.0,4
2020,Italy,10,10,20,40,10.0,524.0,89305.0,0,8.0,27.666666666666668,24.0,83.0,4
2008,Italy,8,9,10,27,9.0,459.0,163658.0,0,12.0,33.666666666666664,36.0,101.0,4
1968,Italy,3,4,9,16,13.0,268.0,97238.0,0,10.333333333333334,29.333333333333332,31.0,88.0,4
1912,Italy,3,1,2,6,11.0,96.0,73221.89285714286,0,2.5,4.5,5.0,9.0,4
1948,Italy,8,11,8,27,5.0,310.0,73221.89285714286,0,9.333333333333334,27.333333333333332,28.0,82.0,4
1976,Italy,2,7,4,13,14.0,312.0,120213.0,0,6.0,20.333333333333332,18.0,61.0,4
1908,Italy,2,2,0,4,9.0,97.0,73221.89285714286,0,3.0,5.0,3.0,5.0,4
1972,Italy,5,3,10,18,10.0,345.0,113781.0,0,8.666666666666666,26.333333333333332,26.0,79.0,4
1956,Italy,8,8,9,25,5.0,207.0,73221.89285714286,0,8.333333333333334,25.0,25.0,75.0,4
1928,Italy,7,5,7,19,5.0,273.0,73221.89285714286,0,8.0,15.0,24.0,45.0,4
2020,Ivory Coast,0,0,1,1,86.0,0.0,5251.5,0,0.5,1.5,1.0,3.0,1
1984,Ivory Coast,0,1,0,1,33.0,0.0,5251.5,0,0.0,0.0,0.0,0.0,1
2016,Ivory Coast,1,0,1,2,51.0,0.0,5251.5,0,0.0,1.0,0.0,1.0,1
2024,Ivory Coast,0,0,1,1,84.0,0.0,21006.0,0,0.3333333333333333,1.3333333333333333,1.0,4.0,1
1972,Jamaica,0,0,1,1,43.0,51.0,1417.0,0,1.0,3.0,3.0,9.0,2
2008,Jamaica,5,4,2,11,15.0,66.0,904.0,0,1.0,6.666666666666667,3.0,20.0,2
2020,Jamaica,4,1,4,9,21.0,87.0,623.0,0,5.0,11.666666666666666,15.0,35.0,2
2016,Jamaica,6,3,2,11,16.0,77.0,726.0,0,3.6666666666666665,9.666666666666666,11.0,29.0,2
1988,Jamaica,0,2,0,2,34.0,49.0,710.0,0,0.3333333333333333,2.6666666666666665,1.0,8.0,2
2000,Jamaica,0,6,3,9,54.0,65.0,858.0,0,0.3333333333333333,4.0,1.0,12.0,2
1984,Jamaica,0,1,2,3,28.0,75.0,571.0,0,0.3333333333333333,2.0,1.0,6.0,2
1948,Jamaica,1,2,0,3,20.0,26.0,787.3529411764706,0,0.0,0.0,0.0,0.0,2
1992,Jamaica,0,3,1,4,38.0,51.0,521.0,0,0.0,2.6666666666666665,0.0,8.0,2
1952,Jamaica,2,3,0,5,13.0,16.0,787.3529411764706,0,1.0,3.0,1.0,3.0,2
2024,Jamaica,1,3,2,6,44.0,81.0,904.0,0,4.666666666666667,11.0,14.0,33.0,2
2012,Jamaica,4,5,4,13,18.0,62.0,882.0,0,2.3333333333333335,8.333333333333334,7.0,25.0,2
1968,Jamaica,0,1,0,1,39.0,35.0,1082.0,0,1.5,4.0,3.0,8.0,2
2004,Jamaica,2,1,2,5,35.0,62.0,813.0,0,0.3333333333333333,6.333333333333333,1.0,19.0,2
1976,Jamaica,1,1,0,2,21.0,36.0,1567.0,0,0.6666666666666666,2.3333333333333335,2.0,7.0,2
1996,Jamaica,1,3,2,6,39.0,69.0,888.0,0,0.0,3.0,0.0,9.0,2
1980,Jamaica,0,0,3,3,34.0,32.0,919.0,0,0.3333333333333333,1.3333333333333333,1.0,4.0,2
1968,Japan,11,7,7,25,3.0,289.0,166813.0,0,8.0,22.0,24.0,66.0,4
2008,Japan,9,8,8,25,8.0,457.0,345734.0,0,8.0,23.0,24.0,69.0,4
1964,Japan,16,5,8,29,3.0,456.0,232884.13043478262,1,3.0,15.333333333333334,9.0,46.0,4
1996,Japan,3,6,5,14,23.0,448.0,609839.0,0,5.666666666666667,22.666666666666668,17.0,68.0,4
1928,Japan,2,2,1,5,15.0,56.0,232884.13043478262,0,0.0,1.5,0.0,3.0,4
1924,Japan,0,0,1,1,23.0,37.0,232884.13043478262,0,0.0,2.0,0.0,2.0,4
1952,Japan,1,6,2,9,17.0,133.0,232884.13043478262,0,5.0,14.333333333333334,15.0,43.0,4
2020,Japan,27,14,17,58,3.0,787.0,236732.0,1,9.333333333333334,34.666666666666664,28.0,104.0,4
1972,Japan,13,8,8,29,5.0,293.0,253994.0,0,10.333333333333334,24.0,31.0,72.0,4
1984,Japan,10,8,14,32,7.0,365.0,333311.0,0,11.0,26.333333333333332,33.0,79.0,4
1936,Japan,6,4,10,20,8.0,325.0,232884.13043478262,0,3.0,8.0,9.0,24.0,4
1932,Japan,7,7,4,18,5.0,203.0,232884.13043478262,0,0.6666666666666666,2.6666666666666665,2.0,8.0,4
1920,Japan,0,2,0,2,17.0,26.0,232884.13043478262,0,0.0,0.0,0.0,0.0,4
2016,Japan,12,8,21,41,6.0,436.0,266067.0,0,10.666666666666666,33.333333333333336,32.0,100.0,4
1960,Japan,4,7,7,18,8.0,278.0,232884.13043478262,0,3.6666666666666665,16.0,11.0,48.0,4
2024,Japan,20,12,13,45,3.0,598.0,345734.0,0,15.333333333333334,45.666666666666664,46.0,137.0,4
1976,Japan,9,6,10,25,5.0,328.0,319664.0,0,13.333333333333334,27.666666666666668,40.0,83.0,4
2012,Japan,7,14,17,38,11.0,399.0,385879.0,0,10.0,26.666666666666668,30.0,80.0,4
1992,Japan,3,8,11,22,17.0,392.0,610498.0,0,7.666666666666667,23.666666666666668,23.0,71.0,4
2000,Japan,5,8,5,18,15.0,363.0,484662.0,0,3.3333333333333335,16.666666666666668,10.0,50.0,4
1988,Japan,4,3,7,14,14.0,412.0,596909.0,0,10.666666666666666,28.666666666666668,32.0,86.0,4
1956,Japan,4,10,5,19,10.0,222.0,232884.13043478262,0,4.666666666666667,15.666666666666666,14.0,47.0,4
2004,Japan,16,9,12,37,5.0,414.0,400499.0,0,3.6666666666666665,18.0,11.0,54.0,4
2016,Jordan,1,0,0,1,54.0,8.0,2099.0,0,0.0,0.0,0.0,0.0,1
2020,Jordan,0,1,1,2,74.0,15.0,2023.0,0,1.0,1.0,1.0,1.0,1
2024,Jordan,0,1,0,1,74.0,13.0,1510.0,0,0.5,1.5,1.0,3.0,1
2024,Kazakhstan,1,3,3,7,43.0,123.0,12768.0,0,1.6666666666666667,12.0,5.0,36.0,2
2020,Kazakhstan,0,0,8,8,83.0,116.0,7988.0,0,2.3333333333333335,12.333333333333334,7.0,37.0,2
